Cross,Replicate,Mother_strain,Father_strain,Treatment,Block,Gen_1,Gen_2,Gen_3,Gen_4,Gen_5,Gen_6,Gen_7,Gen_8,Gen_9,Gen_10,Gen_11,Gen_12,Gen_13,Gen_14,Gen_15,Gen_16,Gen_17,Gen_18,Gen_19,Gen_20
1,1,P1_UBI_female,P2_UBI_female,Female,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,P1_UBI_female,P2_UBI_female,Female,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,P1_UBI_female,P2_UBI_female,Female,1,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,P1_UBI_female,P2_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA
1,8,P1_UBI_female,P2_UBI_female,Female,1,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,10,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,P1_UBI_female,P3_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,P1_UBI_female,P3_3xp_female,Female,1,FEMALE,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,6,P1_UBI_female,P3_3xp_female,Female,1,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,P1_UBI_female,P3_3xp_female,Female,1,NO,NO,NO,NO,NO,MALE,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8,P1_UBI_female,P3_3xp_female,Female,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,P1_UBI_female,P3_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,P3_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,P3_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,7,P3_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,9,P3_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA
5,2,P1_UBI_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NO,NA,NA,NA,NA,NA
5,3,P1_UBI_female,P4_3xp_female,Female,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4,P1_UBI_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,P1_UBI_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,7,P1_UBI_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,P4_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,P4_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7,P4_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,9,P4_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO
6,10,P4_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,3,P2_UBI_female,P3_3xp_female,Female,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,4,P2_UBI_female,P3_3xp_female,Female,1,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,5,P2_UBI_female,P3_3xp_female,Female,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,6,P2_UBI_female,P3_3xp_female,Female,1,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,8,P2_UBI_female,P3_3xp_female,Female,1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,3,P3_3xp_female,P2_UBI_female,Female,1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,4,P3_3xp_female,P2_UBI_female,Female,1,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,7,P3_3xp_female,P2_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA
8,10,P3_3xp_female,P2_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,P2_UBI_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2,P2_UBI_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,4,P2_UBI_female,P4_3xp_female,Female,1,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,5,P2_UBI_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,6,P2_UBI_female,P4_3xp_female,Female,1,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2,P4_3xp_female,P2_UBI_female,Female,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,3,P4_3xp_female,P2_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,4,P4_3xp_female,P2_UBI_female,Female,1,NO,FEMALE,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,5,P4_3xp_female,P2_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,6,P4_3xp_female,P2_UBI_female,Female,1,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,P3_3xp_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,3,P3_3xp_female,P4_3xp_female,Female,1,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,4,P3_3xp_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,5,P3_3xp_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,7,P3_3xp_female,P4_3xp_female,Female,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,6,P4_3xp_female,P3_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,7,P4_3xp_female,P3_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,MALE,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,8,P4_3xp_female,P3_3xp_female,Female,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,9,P4_3xp_female,P3_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO
13,1,P1_3xp_male,P2_3xp_male,Male,1,NO,NO,NO,NO,NO,MALE,NO,NO,NO,NO,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO
13,2,P1_3xp_male,P2_3xp_male,Male,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,4,P1_3xp_male,P2_3xp_male,Male,1,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,5,P1_3xp_male,P2_3xp_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2,P2_3xp_male,P1_3xp_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,3,P2_3xp_male,P1_3xp_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO
14,5,P2_3xp_male,P1_3xp_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA
14,6,P2_3xp_male,P1_3xp_male,Male,1,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,7,P2_3xp_male,P1_3xp_male,Male,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,P1_3xp_male,P3_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2,P1_3xp_male,P3_UBI_male,Male,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,P1_3xp_male,P3_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA
15,4,P1_3xp_male,P3_UBI_male,Male,1,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,5,P1_3xp_male,P3_UBI_male,Male,1,NO,NO,NO,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,P3_UBI_male,P1_3xp_male,Male,1,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2,P3_UBI_male,P1_3xp_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,3,P3_UBI_male,P1_3xp_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,4,P3_UBI_male,P1_3xp_male,Male,1,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,5,P3_UBI_male,P1_3xp_male,Male,1,MALE,NO,NO,NO,NO,NO,NO,NO,FEMALE,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA
16,7,P3_UBI_male,P1_3xp_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,P1_3xp_male,P4_UBI_male,Male,1,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3,P1_3xp_male,P4_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA
17,4,P1_3xp_male,P4_UBI_male,Male,1,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,5,P1_3xp_male,P4_UBI_male,Male,1,NO,MALE,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,6,P1_3xp_male,P4_UBI_male,Male,1,MALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2,P4_UBI_male,P1_3xp_male,Male,1,NO,NO,NO,FEMALE,NO,NO,NO,FEMALE,NO,NO,FEMALE,NO,NA,NA,NA,NA,NA,NA,NA,NA
18,3,P4_UBI_male,P1_3xp_male,Male,1,NO,NO,NO,NO,FEMALE,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,4,P4_UBI_male,P1_3xp_male,Male,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,6,P4_UBI_male,P1_3xp_male,Male,1,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,7,P4_UBI_male,P1_3xp_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,P2_3xp_male,P3_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NO,NO,NO,NO,NA,NA
19,3,P2_3xp_male,P3_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,5,P2_3xp_male,P3_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,6,P2_3xp_male,P3_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,8,P2_3xp_male,P3_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2,P3_UBI_male,P2_3xp_male,Male,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,4,P3_UBI_male,P2_3xp_male,Male,1,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,5,P3_UBI_male,P2_3xp_male,Male,1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,6,P3_UBI_male,P2_3xp_male,Male,1,NO,NO,FEMALE,NO,NO,FEMALE,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,7,P3_UBI_male,P2_3xp_male,Male,1,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,P2_3xp_male,P4_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2,P2_3xp_male,P4_UBI_male,Male,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,3,P2_3xp_male,P4_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA
21,5,P2_3xp_male,P4_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,7,P2_3xp_male,P4_UBI_male,Male,1,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,3,P4_UBI_male,P2_3xp_male,Male,1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,6,P4_UBI_male,P2_3xp_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA
22,8,P4_UBI_male,P2_3xp_male,Male,1,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,9,P4_UBI_male,P2_3xp_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,P3_UBI_male,P4_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA
23,2,P3_UBI_male,P4_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,3,P3_UBI_male,P4_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,4,P3_UBI_male,P4_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,5,P3_UBI_male,P4_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,P4_UBI_male,P3_UBI_male,Male,1,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2,P4_UBI_male,P3_UBI_male,Male,1,NO,NO,NO,NO,NO,FEMALE,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,4,P4_UBI_male,P3_UBI_male,Male,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,6,P4_UBI_male,P3_UBI_male,Male,1,NO,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,8,P4_UBI_male,P3_UBI_male,Male,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,P5,P6,Control,1,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,3,P5,P6,Control,1,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,4,P5,P6,Control,1,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,5,P5,P6,Control,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,6,P5,P6,Control,1,NO,NO,FEMALE,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2,P6,P5,Control,1,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,6,P6,P5,Control,1,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,8,P6,P5,Control,1,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,9,P6,P5,Control,1,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,10,P6,P5,Control,1,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2,P5,P7,Control,1,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,3,P5,P7,Control,1,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,4,P5,P7,Control,1,NO,NO,NO,NO,FEMALE,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,5,P5,P7,Control,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
